year_range_label,field,sex,nobel_count
1901-1910,Chemistry,Male,10
1901-1910,Medicine,Male,12
1901-1910,Physics,Female,1
1901-1910,Physics,Male,13
1911-1920,Chemistry,Female,1
1911-1920,Chemistry,Male,10
1911-1920,Medicine,Male,10
1911-1920,Physics,Male,11
1921-1930,Chemistry,Male,11
1921-1930,Medicine,Male,13
1921-1930,Physics,Male,12
1931-1940,Chemistry,Female,1
1931-1940,Chemistry,Male,13
1931-1940,Medicine,Male,14
1931-1940,Physics,Male,13
1941-1950,Chemistry,Male,13
1941-1950,Medicine,Female,1
1941-1950,Medicine,Male,18
1941-1950,Physics,Male,10
1951-1960,Chemistry,Male,13
1951-1960,Medicine,Male,19
1951-1960,Physics,Male,20
1961-1970,Chemistry,Female,1
1961-1970,Chemistry,Male,14
1961-1970,Economics,Male,3
1961-1970,Medicine,Male,26
1961-1970,Physics,Female,1
1961-1970,Physics,Male,17
1971-1980,Chemistry,Male,17
1971-1980,Economics,Male,15
1971-1980,Medicine,Female,1
1971-1980,Medicine,Male,24
1971-1980,Physics,Male,25
1981-1990,Chemistry,Male,19
1981-1990,Economics,Male,12
1981-1990,Medicine,Female,3
1981-1990,Medicine,Male,19
1981-1990,Physics,Male,23
1991-2000,Chemistry,Male,20
1991-2000,Economics,Male,16
1991-2000,Medicine,Female,1
1991-2000,Medicine,Male,20
1991-2000,Physics,Male,22
2001-2010,Chemistry,Female,1
2001-2010,Chemistry,Male,24
2001-2010,Economics,Female,1
2001-2010,Economics,Male,20
2001-2010,Medicine,Female,4
2001-2010,Medicine,Male,20
2001-2010,Physics,Male,27
2011-2020,Chemistry,Female,3
2011-2020,Chemistry,Male,23
2011-2020,Economics,Female,1
2011-2020,Economics,Male,18
2011-2020,Medicine,Female,2
2011-2020,Medicine,Male,24
2011-2020,Physics,Female,2
2011-2020,Physics,Male,25
2021-2030,Chemistry,Female,1
2021-2030,Chemistry,Male,10
2021-2030,Economics,Female,1
2021-2030,Economics,Male,9
2021-2030,Medicine,Female,1
2021-2030,Medicine,Male,6
2021-2030,Physics,Female,1
2021-2030,Physics,Male,10
